task_id,status_bucket,selected_timestamp,selected_run_dir,slm1_class,slm2_class,fb1_state,fb1_class,fb2_state,fb2_class
HumanEval/0,FALLBACK_PASS,20260212_064246,episodes/humaneval_runs/20260212_064246_HumanEval_0,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/1,FALLBACK_PASS,20260212_065147,episodes/humaneval_runs/20260212_065147_HumanEval_1,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/3,FALLBACK_PASS,20260206_071641,episodes/humaneval_runs/20260206_071641_HumanEval_3,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/4,FALLBACK_PASS,20260212_065551,episodes/humaneval_runs/20260212_065551_HumanEval_4,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/5,FALLBACK_PASS,20260212_070827,episodes/humaneval_runs/20260212_070827_HumanEval_5,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/6,FALLBACK_PASS,20260212_071808,episodes/humaneval_runs/20260212_071808_HumanEval_6,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/7,FALLBACK_PASS,20260212_073048,episodes/humaneval_runs/20260212_073048_HumanEval_7,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/8,FALLBACK_PASS,20260212_073415,episodes/humaneval_runs/20260212_073415_HumanEval_8,NameError,NameError,FAIL,NameError,PASS,PASS
HumanEval/9,FALLBACK_PASS,20260212_073753,episodes/humaneval_runs/20260212_073753_HumanEval_9,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/12,FALLBACK_PASS,20260212_074142,episodes/humaneval_runs/20260212_074142_HumanEval_12,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/14,FALLBACK_PASS,20260214_073154,episodes/humaneval_runs/20260214_073154_HumanEval_14,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/17,FALLBACK_PASS,20260213_071722,episodes/humaneval_runs/20260213_071722_HumanEval_17,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/19,FALLBACK_PASS,20260212_074839,episodes/humaneval_runs/20260212_074839_HumanEval_19,AssertionError|tail,AssertionError|tail,PASS,PASS,MISSING,MISSING
HumanEval/20,FALLBACK_PASS,20260213_073022,episodes/humaneval_runs/20260213_073022_HumanEval_20,NameError,NameError,FAIL,NameError,PASS,PASS
HumanEval/21,FALLBACK_PASS,20260213_073942,episodes/humaneval_runs/20260213_073942_HumanEval_21,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/22,FALLBACK_PASS,20260213_074751,episodes/humaneval_runs/20260213_074751_HumanEval_22,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/25,FALLBACK_PASS,20260213_075127,episodes/humaneval_runs/20260213_075127_HumanEval_25,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/26,FALLBACK_PASS,20260221_074016,episodes/humaneval_runs/20260221_074016_HumanEval_26,NO_CODE_EXTRACTED,NO_CODE_EXTRACTED,PASS,PASS,MISSING,MISSING
HumanEval/28,FALLBACK_FAIL_NON_INFRA,20260222_060434,episodes/humaneval_runs/20260222_060434_HumanEval_28,NameError,NameError,FAIL,NameError,FAIL,NameError
HumanEval/29,FALLBACK_FAIL_NON_INFRA,20260222_060637,episodes/humaneval_runs/20260222_060637_HumanEval_29,NameError,NameError,FAIL,NameError,FAIL,NameError
HumanEval/32,FALLBACK_FAIL_NON_INFRA,20260222_060955,episodes/humaneval_runs/20260222_060955_HumanEval_32,SyntaxError,SyntaxError,FAIL,IndentationError,FAIL,IndentationError
