task_id,status_bucket,selected_timestamp,selected_run_dir,slm1_class,slm2_class,fb1_state,fb1_class,fb2_state,fb2_class
HumanEval/0,FALLBACK_PASS,20260212_064246,episodes/humaneval_runs/20260212_064246_HumanEval_0,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/1,FALLBACK_PASS,20260212_065147,episodes/humaneval_runs/20260212_065147_HumanEval_1,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/2,NO_FALLBACK_SLM_PASS_ONLY,20260201_181202,episodes/humaneval_runs/20260201_181202_HumanEval_2,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/3,FALLBACK_PASS,20260206_071641,episodes/humaneval_runs/20260206_071641_HumanEval_3,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/4,FALLBACK_PASS,20260212_065551,episodes/humaneval_runs/20260212_065551_HumanEval_4,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/5,FALLBACK_PASS,20260212_070827,episodes/humaneval_runs/20260212_070827_HumanEval_5,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/6,FALLBACK_PASS,20260212_071808,episodes/humaneval_runs/20260212_071808_HumanEval_6,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/7,FALLBACK_PASS,20260212_073048,episodes/humaneval_runs/20260212_073048_HumanEval_7,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/8,FALLBACK_PASS,20260212_073415,episodes/humaneval_runs/20260212_073415_HumanEval_8,NameError,NameError,FAIL,NameError,PASS,PASS
HumanEval/9,FALLBACK_PASS,20260212_073753,episodes/humaneval_runs/20260212_073753_HumanEval_9,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/10,NO_FALLBACK_SLM_PASS_ONLY,20260201_211622,episodes/humaneval_runs/20260201_211622_HumanEval_10,AssertionError|tail,PASS,MISSING,MISSING,MISSING,MISSING
HumanEval/11,NO_FALLBACK_SLM_PASS_ONLY,20260201_211734,episodes/humaneval_runs/20260201_211734_HumanEval_11,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/12,FALLBACK_PASS,20260212_074142,episodes/humaneval_runs/20260212_074142_HumanEval_12,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/13,NO_FALLBACK_SLM_PASS_ONLY,20260201_211910,episodes/humaneval_runs/20260201_211910_HumanEval_13,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/14,FALLBACK_PASS,20260214_073154,episodes/humaneval_runs/20260214_073154_HumanEval_14,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/15,NO_FALLBACK_SLM_PASS_ONLY,20260201_212020,episodes/humaneval_runs/20260201_212020_HumanEval_15,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/16,NO_FALLBACK_SLM_PASS_ONLY,20260201_212029,episodes/humaneval_runs/20260201_212029_HumanEval_16,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/17,FALLBACK_PASS,20260213_071722,episodes/humaneval_runs/20260213_071722_HumanEval_17,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/18,NO_FALLBACK_SLM_PASS_ONLY,20260201_212244,episodes/humaneval_runs/20260201_212244_HumanEval_18,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/19,FALLBACK_PASS,20260212_074839,episodes/humaneval_runs/20260212_074839_HumanEval_19,AssertionError|tail,AssertionError|tail,PASS,PASS,MISSING,MISSING
