task_id	slm1	slm2	fb1	fb2	run_dir
HumanEval/0	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_072633_HumanEval_0
HumanEval/1	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_073034_HumanEval_1
HumanEval/4	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_073434_HumanEval_4
HumanEval/5	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_073835_HumanEval_5
HumanEval/6	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_074236_HumanEval_6
HumanEval/7	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_074637_HumanEval_7
HumanEval/8	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_075035_HumanEval_8
HumanEval/9	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_075436_HumanEval_9
HumanEval/12	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_075833_HumanEval_12
HumanEval/119	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_080229_HumanEval_119
HumanEval/19	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_080630_HumanEval_19
HumanEval/54	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_080950_HumanEval_54
HumanEval/64	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_081327_HumanEval_64
HumanEval/69	FAIL	FAIL	PASS	MISSING	episodes/humaneval_runs/20260211_082123_HumanEval_69
HumanEval/70	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_083551_HumanEval_70
HumanEval/71	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_084039_HumanEval_71
HumanEval/74	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_084605_HumanEval_74
HumanEval/75	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_085007_HumanEval_75
HumanEval/77	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_085409_HumanEval_77
HumanEval/79	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_085823_HumanEval_79
HumanEval/14	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_093233_HumanEval_14
HumanEval/17	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_093636_HumanEval_17
HumanEval/20	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_094038_HumanEval_20
HumanEval/21	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_094440_HumanEval_21
HumanEval/22	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_094848_HumanEval_22
HumanEval/25	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_095252_HumanEval_25
HumanEval/33	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_142553_HumanEval_33
HumanEval/37	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_142955_HumanEval_37
HumanEval/76	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_143357_HumanEval_76
HumanEval/67	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_143800_HumanEval_67
HumanEval/32	FAIL	FAIL	MISSING	MISSING	episodes/humaneval_runs/20260211_144203_HumanEval_32
